CD TYPE STATUT (statuts);CODE STATUT (statuts);LABEL STATUT (statuts);LB TYPE STATUT (statuts);CD NOM (statuts)
DH;;Directive 92/43/CEE (Directive européenne dite Directive Habitats-Faune-Flore) : Annexe II;Directive Habitat;139
DH;;Directive 92/43/CEE (Directive européenne dite Directive Habitats-Faune-Flore) : Annexe II;Directive Habitat;53979
DH;;Directive 92/43/CEE (Directive européenne dite Directive Habitats-Faune-Flore) : Annexe IV;Directive Habitat;60518
DH;;Directive 92/43/CEE (Directive européenne dite Directive Habitats-Faune-Flore) : Annexe IV;Directive Habitat;79303
DH;;Directive 92/43/CEE (Directive européenne dite Directive Habitats-Faune-Flore) : Annexe V;Directive Habitat;6789
DH;;Directive 92/43/CEE (Directive européenne dite Directive Habitats-Faune-Flore) : Annexe II;Directive Habitat;67772
DH;;Directive 92/43/CEE (Directive européenne dite Directive Habitats-Faune-Flore) : Annexe II;Directive Habitat;60927
DH;;Directive 92/43/CEE (Directive européenne dite Directive Habitats-Faune-Flore) : Annexe IV;Directive Habitat;77600
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe III/2;Directive Oiseaux;1973
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe III/2;Directive Oiseaux;2737
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/1;Directive Oiseaux;1998
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;534823
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;2568
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;2794
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;3116
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/1;Directive Oiseaux;836222
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/1;Directive Oiseaux;2741
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;4505
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;4507
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;2571
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2481
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;3161
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe III/2;Directive Oiseaux;2005
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;2590
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;534748
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;814245
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2610
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2508
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;2760
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe III/2;Directive Oiseaux;2543
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2477
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;4026
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;1984
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;836246
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;4488
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;3439
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;4137
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe III/2;Directive Oiseaux;1991
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2739
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;4497
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2938
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;814245
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;3187
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;2734
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/1;Directive Oiseaux;3003
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;2816
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;790986
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe III/1;Directive Oiseaux;2989
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2832
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;971
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;4503
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;3129
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;3811
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;1980
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2826
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;2594
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/1;Directive Oiseaux;1952
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2750
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2873
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;2808
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;959
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;2996
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;4665
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2931
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;2818
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;3345
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;3089
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;4129
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2674
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;199318
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe III/2;Directive Oiseaux;1952
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/1;Directive Oiseaux;836203
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;2790
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;3586
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2836
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;956
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe III/2;Directive Oiseaux;2001
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2918
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/1;Directive Oiseaux;2975
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;838315
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;3289
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/1;Directive Oiseaux;3424
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;3422
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/1;Directive Oiseaux;1973
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;3525
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2881
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe III/2;Directive Oiseaux;3070
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;3076
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;3807
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;3243
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;3036
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;2725
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/1;Directive Oiseaux;1991
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2878
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;3619
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;530157
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2522
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/1;Directive Oiseaux;2559
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2770
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;4127
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;3608
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2848
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;3112
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2840
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;4474
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;3067
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe III/2;Directive Oiseaux;1958
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;782527
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe III/2;Directive Oiseaux;3161
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2504
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;3364
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;1031
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2753
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2514
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2884
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;4494
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe III/2;Directive Oiseaux;2538
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/1;Directive Oiseaux;2989
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2473
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;3053
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2681
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;3302
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;2563
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/1;Directive Oiseaux;2724
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;459627
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2666
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;3059
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2660
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;3161
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;3676
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2549
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;3297
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2844
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;2589
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;3153
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/1;Directive Oiseaux;1972
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;2001
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;4516
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/1;Directive Oiseaux;2720
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/1;Directive Oiseaux;2747
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;2676
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/2;Directive Oiseaux;2567
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe II/1;Directive Oiseaux;2543
DO;;Directive 79/409/CEE (Directive européenne dite Directive Oiseaux) : Annexe I;Directive Oiseaux;3120
